#h [m]	fv     Laser Xu & Faeth
5.00E-03	1.19E-09
7.50E-03	3.08E-08
1.00E-02	4.86E-08
1.10E-02	6.05E-08
1.25E-02	7.47E-08
1.50E-02	9.49E-08
1.75E-02	1.20E-07
2.00E-02	1.49E-07
2.25E-02	1.60E-07
2.50E-02	1.71E-07
#h [m]	fv     Sampling Xu & Faeth
7.50E-03	1.70E-08
1.00E-02	7.41E-08
1.25E-02	7.94E-08
1.50E-02	1.63E-07
1.75E-02	2.02E-07
2.00E-02	2.16E-07
2.25E-02	2.98E-07
2.50E-02	2.18E-07
2.75E-02	2.40E-07
# h [m]	fv     Laser Menon
1.03E-03	7.42E-09
1.48E-03	9.89E-09
2.01E-03	7.33E-09
2.54E-03	7.27E-09
3.04E-03	7.22E-09
3.58E-03	1.47E-08
4.11E-03	1.72E-08
4.58E-03	3.22E-08
5.11E-03	4.72E-08
5.56E-03	5.72E-08
6.09E-03	7.22E-08
6.59E-03	8.72E-08
7.07E-03	1.02E-07
7.60E-03	1.17E-07
8.13E-03	1.35E-07
8.63E-03	1.52E-07
9.16E-03	1.72E-07
9.66E-03	1.87E-07
1.02E-02	2.05E-07
1.11E-02	2.42E-07
1.22E-02	2.80E-07
1.32E-02	3.07E-07
1.42E-02	3.37E-07
1.52E-02	3.60E-07
1.62E-02	3.93E-07
1.72E-02	4.07E-07
1.83E-02	4.32E-07
1.93E-02	4.55E-07
2.03E-02	4.85E-07
2.13E-02	4.90E-07
2.23E-02	5.17E-07
